1,  42220200111,    Fall,   2022,   CSE 2111,   3.00
2,  42220200111,    Fall,   2022,   CSE 2162,   3.00
3,  42220200111,    Fall,   2022,   CSE 1290,   3.25
4,  42220200111,    Fall,   2022,   CSE 1307,   3.50
5,  42220200111,    Fall,   2022,   CSE 1360,   3.25
6,  42220200111,    Fall,   2022,   CSE 1205,   3.50
7,  42220200111,    Fall,   2022,   CSE 1259,   3.50
8,  42220200115,    Fall,   2022,   CSE 2111,   3.75
9,  42220200115,    Fall,   2022,   CSE 2162,   3.75
10, 42220200115,    Fall,   2022,   CSE 1290,   3.50
11, 42220200115,    Fall,   2022,   CSE 1307,   3.20
12, 42220200115,    Fall,   2022,   CSE 1360,   3.75
13, 42220200115,    Fall,   2022,   CSE 1205,   3.25
14, 42220200115,    Fall,   2022,   CSE 1259,   3.50
15, 42220200118,    Fall,   2022,   CSE 2111,   3.75
16, 42220200118,    Fall,   2022,   CSE 2162,   3.25
17, 42220200118,    Fall,   2022,   CSE 1290,   3.50
18, 42220200118,    Fall,   2022,   CSE 1307,   3.50
19, 42220200118,    Fall,   2022,   CSE 1360,   4.00
20, 42220200118,    Fall,   2022,   CSE 1205,   3.25
21, 42220200118,    Fall,   2022,   CSE 1259,   4.00
22, 42220200121,    Fall,   2022,   CSE 2111,   3.50
23, 42220200121,    Fall,   2022,   CSE 2162,   3.75
24, 42220200121,    Fall,   2022,   CSE 1290,   3.00
25, 42220200121,    Fall,   2022,   CSE 1307,   3.75
26, 42220200121,    Fall,   2022,   CSE 1360,   4.00
27, 42220200121,    Fall,   2022,   CSE 1205,   3.00
28, 42220200121,    Fall,   2022,   CSE 1259,   2.75
29, 42220200139,    Fall,   2022,   CSE 2111,   2.75
30, 42220200139,    Fall,   2022,   CSE 2162,   3.50
31, 42220200139,    Fall,   2022,   CSE 1290,   3.25
32, 42220200139,    Fall,   2022,   CSE 1307,   3.75
33, 42220200139,    Fall,   2022,   CSE 1360,   3.25
34, 42220200139,    Fall,   2022,   CSE 1205,   4.00
35, 42220200139,    Fall,   2022,   CSE 1259,   3.50
36, 42220200139,    Fall,   2022,   MATH 1101,  2.75
